Aggregate Series,SPEPSTTM
Data Start,2003-01-04
Data End,2026-05-16

Date,Value
2014-04-26,10.093256950378418
2014-05-03,10.09844970703125
2014-05-10,10.10022258758545
2014-05-17,10.10748291015625
2014-05-24,10.113344192504883
2014-05-31,10.109021186828613
2014-06-07,10.117289543151855
2014-06-14,10.12637710571289
2014-06-21,10.088264465332031
2014-06-28,10.0944185256958
2014-07-05,10.10849666595459
2014-07-12,10.118844985961914
2014-07-19,10.09880542755127
2014-07-26,10.171274185180664
2014-08-02,10.28288459777832
2014-08-09,10.385108947753906
2014-08-16,10.398327827453613
2014-08-23,10.401479721069336
2014-08-30,10.403417587280273
2014-09-06,10.399245262145996
2014-09-13,10.422788619995117
2014-09-20,10.383513450622559
2014-09-27,10.379487991333008
2014-10-04,10.371286392211914
2014-10-11,10.387328147888184
2014-10-18,10.460780143737793
2014-10-25,10.560724258422852
2014-11-01,10.718062400817871
2014-11-08,10.72001838684082
2014-11-15,10.69693660736084
2014-11-22,10.705595016479492
2014-11-29,10.705512046813965
2014-12-06,10.717721939086914
2014-12-13,10.726201057434082
2014-12-20,10.66401195526123
2014-12-27,10.667048454284668
2015-01-03,10.668580055236816
2015-01-10,10.682692527770996
2015-01-17,10.648283004760742
2015-01-24,10.409759521484375
2015-01-31,10.125974655151367
2015-02-07,10.255922317504883
2015-02-14,10.156142234802246
2015-02-21,10.19165325164795
2015-02-28,10.150395393371582
2015-03-07,10.166577339172363
2015-03-14,10.177886009216309
2015-03-21,10.16302490234375
2015-03-28,10.162094116210938
2015-04-04,10.1687650680542
2015-04-11,10.182953834533691
2015-04-18,10.090197563171387
2015-04-25,10.09162425994873
2015-05-02,10.096220016479492
2015-05-09,9.905525207519531
2015-05-16,9.870174407958984
2015-05-23,9.871459007263184
2015-05-30,9.87596321105957
2015-06-06,9.868376731872559
2015-06-13,9.871793746948242
2015-06-20,9.80921745300293
2015-06-27,9.803400993347168
2015-07-04,9.820444107055664
2015-07-11,9.83667278289795
2015-07-18,9.900586128234863
2015-07-25,9.834257125854492
2015-08-01,9.665877342224121
2015-08-08,9.43962287902832
2015-08-15,9.422813415527344
2015-08-22,9.436257362365723
2015-08-29,9.429502487182617
2015-09-05,9.42809009552002
2015-09-12,9.432219505310059
2015-09-19,9.378963470458984
2015-09-26,9.363846778869629
2015-10-03,9.380718231201172
2015-10-10,9.361883163452148
2015-10-17,9.420655250549316
2015-10-24,9.285374641418457
2015-10-31,9.162689208984375
2015-11-07,8.922530174255371
2015-11-14,8.934117317199707
2015-11-21,8.946413040161133
2015-11-28,8.949235916137695
2015-12-05,8.965631484985352
2015-12-12,8.973068237304688
2015-12-19,8.922205924987793
2015-12-26,8.927290916442871
2016-01-02,8.931462287902832
2016-01-09,8.933544158935547
2016-01-16,8.956253051757812
2016-01-23,9.040550231933594
2016-01-30,9.006752014160156
2016-02-06,8.879231452941895
2016-02-13,8.797747611999512
2016-02-20,8.671597480773926
2016-02-27,8.609916687011719
2016-03-05,8.560653686523438
2016-03-12,8.57016658782959
2016-03-19,8.51850414276123
2016-03-26,8.531339645385742
2016-04-02,8.540225982666016
2016-04-09,8.542074203491211
2016-04-16,8.511982917785645
2016-04-23,8.565760612487793
2016-04-30,8.447608947753906
2016-05-07,8.452078819274902
2016-05-14,8.447543144226074
2016-05-21,8.45844554901123
2016-05-28,8.465764045715332
2016-06-04,8.469709396362305
2016-06-11,8.48310375213623
2016-06-18,8.443263053894043
2016-06-25,8.45408821105957
2016-07-02,8.463712692260742
2016-07-09,8.469212532043457
2016-07-16,8.4542818069458
2016-07-23,8.443305969238281
2016-07-30,8.376501083374023
2016-08-06,8.470884323120117
2016-08-13,8.476522445678711
2016-08-20,8.488982200622559
2016-08-27,8.503738403320312
2016-09-03,8.498573303222656
2016-09-10,8.518003463745117
2016-09-17,8.468439102172852
2016-09-24,8.475175857543945
2016-10-01,8.522003173828125
2016-10-08,8.532970428466797
2016-10-15,8.521627426147461
2016-10-22,8.4918851852417
2016-10-29,8.47989273071289
2016-11-05,8.905824661254883
2016-11-12,8.865971565246582
2016-11-19,8.88143253326416
2016-11-26,8.867512702941895
2016-12-03,8.9048433303833
2016-12-10,8.893795013427734
2016-12-17,8.844555854797363
2016-12-24,8.856807708740234
2016-12-31,8.962923049926758
2017-01-07,8.960539817810059
2017-01-14,8.986473083496094
2017-01-21,8.956194877624512
2017-01-28,9.080229759216309
2017-02-04,9.188092231750488
2017-02-11,9.168878555297852
2017-02-18,9.27001953125
2017-02-25,9.3189697265625
2017-03-04,9.346055030822754
2017-03-11,9.344511985778809
2017-03-18,9.296314239501953
2017-03-25,9.310820579528809
2017-04-01,9.340428352355957
2017-04-08,9.359451293945312
2017-04-15,9.371928215026855
2017-04-22,9.42983627319336
2017-04-29,9.69329833984375
2017-05-06,9.812417984008789
2017-05-13,9.829651832580566
2017-05-20,9.883038520812988
2017-05-27,9.86552906036377
2017-06-03,9.882146835327148
2017-06-10,9.882140159606934
2017-06-17,9.847047805786133
2017-06-24,9.850104331970215
2017-07-01,9.902023315429688
2017-07-08,9.905847549438477
2017-07-15,9.911703109741211
2017-07-22,9.979851722717285
2017-07-29,10.10846996307373
2017-08-05,10.189799308776855
2017-08-12,10.204024314880371
2017-08-19,10.212895393371582
2017-08-26,10.237177848815918
2017-09-02,10.179817199707031
2017-09-09,10.163214683532715
2017-09-16,10.129117012023926
2017-09-23,10.135391235351562
2017-09-30,10.14190673828125
2017-10-07,10.17458724975586
2017-10-14,10.18913745880127
2017-10-21,10.233602523803711
2017-10-28,10.342391967773438
2017-11-04,10.21452522277832
2017-11-11,10.273633003234863
2017-11-18,10.268147468566895
2017-11-25,10.29941177368164
2017-12-02,10.316248893737793
2017-12-09,10.337903022766113
2017-12-16,10.286139488220215
2017-12-23,10.326651573181152
2017-12-30,10.339653968811035
2018-01-06,10.384610176086426
2018-01-13,10.40477466583252
2018-01-20,10.038817405700684
2018-01-27,10.023642539978027
2018-02-03,10.195375442504883
2018-02-10,10.231297492980957
2018-02-17,10.320148468017578
2018-02-24,10.430850982666016
2018-03-03,10.451109886169434
2018-03-10,10.474844932556152
2018-03-17,10.497474670410156
2018-03-24,10.471884727478027
2018-03-31,10.460392951965332
2018-04-07,10.474905967712402
2018-04-14,10.526545524597168
2018-04-21,10.603381156921387
2018-04-28,10.909546852111816
2018-05-05,11.046324729919434
2018-05-12,11.091748237609863
2018-05-19,11.090584754943848
2018-05-26,11.077301025390625
2018-06-02,11.088614463806152
2018-06-09,11.134687423706055
2018-06-16,11.074177742004395
2018-06-23,11.089908599853516
2018-06-30,11.097892761230469
2018-07-07,11.108846664428711
2018-07-14,11.124246597290039
2018-07-21,11.297171592712402
2018-07-28,11.61085319519043
2018-08-04,11.733602523803711
2018-08-11,11.712931632995605
2018-08-18,11.717422485351562
