Aggregate Series,MySPEPSCNY
Data Start,2003-01-04
Data End,2026-05-16

Date,Value
2014-05-31,11.85117244720459
2014-06-07,11.859103202819824
2014-06-14,11.874886512756348
2014-06-21,11.829717636108398
2014-06-28,11.830615043640137
2014-07-05,11.831804275512695
2014-07-12,11.845433235168457
2014-07-19,11.941142082214355
2014-07-26,12.080364227294922
2014-08-02,12.145011901855469
2014-08-09,12.183425903320312
2014-08-16,12.185977935791016
2014-08-23,12.195302963256836
2014-08-30,12.206949234008789
2014-09-06,12.217294692993164
2014-09-13,12.222023963928223
2014-09-20,12.168683052062988
2014-09-27,12.165081977844238
2014-10-04,12.130219459533691
2014-10-11,12.12153434753418
2014-10-18,12.128806114196777
2014-10-25,12.18500804901123
2014-11-01,12.21469783782959
2014-11-08,12.248737335205078
2014-11-15,12.250444412231445
2014-11-22,12.262267112731934
2014-11-29,12.230765342712402
2014-12-06,12.187816619873047
2014-12-13,12.14185619354248
2014-12-20,12.017399787902832
2014-12-27,12.014900207519531
2015-01-03,12.003750801086426
2015-01-10,11.923896789550781
2015-01-17,11.885064125061035
2015-01-24,11.789149284362793
2015-01-31,11.726301193237305
2015-02-07,11.667681694030762
2015-02-14,11.645334243774414
2015-02-21,11.621508598327637
2015-02-28,11.604373931884766
2015-03-07,11.595128059387207
2015-03-14,11.576674461364746
2015-03-21,11.524423599243164
2015-03-28,11.527182579040527
2015-04-04,11.562349319458008
2015-04-11,11.538066864013672
2015-04-18,11.561539649963379
2015-04-25,11.652616500854492
2015-05-02,11.813969612121582
2015-05-09,11.856472969055176
2015-05-16,11.881487846374512
2015-05-23,11.903059959411621
2015-05-30,11.906841278076172
2015-06-06,11.902708053588867
2015-06-13,11.907450675964355
2015-06-20,11.848979949951172
2015-06-27,11.832932472229004
2015-07-04,11.846778869628906
2015-07-11,11.855351448059082
2015-07-18,11.890725135803223
2015-07-25,11.99500846862793
2015-08-01,12.028860092163086
2015-08-08,12.063878059387207
2015-08-15,12.072707176208496
2015-08-22,12.089659690856934
2015-08-29,12.074490547180176
2015-09-05,12.062434196472168
2015-09-12,12.035365104675293
2015-09-19,11.958773612976074
2015-09-26,11.950358390808105
2015-10-03,11.949880599975586
2015-10-10,11.911657333374023
2015-10-17,11.920660972595215
2015-10-24,11.966233253479004
2015-10-31,12.052270889282227
2015-11-07,12.073074340820312
2015-11-14,12.079225540161133
2015-11-21,12.080455780029297
2015-11-28,12.066377639770508
2015-12-05,12.045427322387695
2015-12-12,12.033761024475098
2015-12-19,11.932470321655273
2015-12-26,11.937695503234863
2016-01-02,11.927678108215332
2016-01-09,11.88641357421875
2016-01-16,11.80188274383545
2016-01-23,11.734220504760742
2016-01-30,11.641340255737305
2016-02-06,11.597636222839355
2016-02-13,11.611969947814941
2016-02-20,11.589803695678711
2016-02-27,11.566773414611816
2016-03-05,11.592419624328613
2016-03-12,11.579887390136719
2016-03-19,11.507598876953125
2016-03-26,11.503457069396973
2016-04-02,11.45778751373291
2016-04-09,11.44833755493164
2016-04-16,11.460409164428711
2016-04-23,11.51179313659668
2016-04-30,11.643917083740234
2016-05-07,11.72900390625
2016-05-14,11.7398681640625
2016-05-21,11.784590721130371
2016-05-28,11.790436744689941
2016-06-04,11.807817459106445
2016-06-11,11.811089515686035
2016-06-18,11.741937637329102
2016-06-25,11.741238594055176
2016-07-02,11.744568824768066
2016-07-09,11.73449420928955
2016-07-16,11.747710227966309
2016-07-23,11.8174467086792
2016-07-30,11.97223949432373
2016-08-06,12.016013145446777
2016-08-13,12.031694412231445
2016-08-20,12.04977798461914
2016-08-27,12.061613082885742
2016-09-03,12.065202713012695
2016-09-10,12.056876182556152
2016-09-17,11.987682342529297
2016-09-24,11.99628734588623
2016-10-01,11.969613075256348
2016-10-08,11.981782913208008
2016-10-15,11.984807968139648
2016-10-22,12.048968315124512
2016-10-29,12.17658805847168
2016-11-05,12.240609169006348
2016-11-12,12.266866683959961
2016-11-19,12.303024291992188
2016-11-26,12.297154426574707
2016-12-03,12.320939064025879
2016-12-10,12.334481239318848
