Date,Fear_Greed
2011-07-18 00:00:00,44.0
2011-07-19 00:00:00,44.0
2011-07-20 00:00:00,47.0
2011-07-21 00:00:00,48.0
2011-07-22 00:00:00,51.0
2011-07-25 00:00:00,38.0
2011-07-26 00:00:00,35.0
2011-07-27 00:00:00,27.0
2011-07-28 00:00:00,27.0
2011-07-29 00:00:00,16.0
2011-08-01 00:00:00,10.0
2011-08-02 00:00:00,8.0
2011-08-03 00:00:00,2.0
2011-08-04 00:00:00,5.0
2011-08-05 00:00:00,5.0
2011-08-08 00:00:00,1.0
2011-08-09 00:00:00,2.0
2011-08-10 00:00:00,2.0
2011-08-11 00:00:00,3.0
2011-08-12 00:00:00,6.0
2011-08-15 00:00:00,7.0
2011-08-16 00:00:00,11.0
2011-08-17 00:00:00,7.0
2011-08-18 00:00:00,7.0
2011-08-19 00:00:00,6.0
2011-08-22 00:00:00,7.0
2011-08-23 00:00:00,9.0
2011-08-24 00:00:00,8.0
2011-08-25 00:00:00,11.0
2011-08-26 00:00:00,12.0
2011-08-29 00:00:00,22.0
2011-08-30 00:00:00,22.0
2011-08-31 00:00:00,28.0
2011-09-01 00:00:00,26.0
2011-09-02 00:00:00,26.0
2011-09-06 00:00:00,27.0
2011-09-07 00:00:00,28.0
2011-09-08 00:00:00,25.0
2011-09-09 00:00:00,25.0
2011-09-12 00:00:00,31.0
2011-09-13 00:00:00,31.0
2011-09-14 00:00:00,31.0
2011-09-15 00:00:00,33.0
2011-09-16 00:00:00,38.0
2011-09-19 00:00:00,39.0
2011-09-20 00:00:00,32.0
2011-09-21 00:00:00,31.0
2011-09-22 00:00:00,28.0
2011-09-23 00:00:00,28.0
2011-09-26 00:00:00,26.0
2011-09-27 00:00:00,25.0
2011-09-28 00:00:00,27.0
